String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String,String
Man12,1,0,0,！,3（可是我也...）,(算了...),给你,0,...,0,唉,0,0,0,0,4...,5...,0,0,疑难杂症...\n急求医生...吗,0,...,可以救，但请不要把我宣扬出去,0,嗯,0,（多次尝试后，我很确信\n这股力量不会侵蚀他人）,5（不过是我稍微疲惫一点\n没关系的）,0,她稍后就能恢复了,0,不用额外的\n到她恢复之后给我约定好的就行,0,（先离开吧）,0,按理说应该恢复了，还没见人..\n算了，本来就没指望他们信守承诺\n这些钱也足够我用了,0,0,4...,5...,0,0,
Woman12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
God12,1,数年前\n艾珀在流亡中得罪了某地地霸\n逃亡中的艾珀...,“好心人，给点饭吃吧...”,0,0,0,0,“谢谢..\n..谢谢老爷！..”,0,衣衫褴褛的乞讨人大口吃着艾珀递来的食物,0,... ...,“喂，乞丐，老实交代，\n刚才见过一个蓝袍男子没有”,“见过见过，他往那边去了”,“哼，知道了”,0,0,... ...,数年前\n艾珀漂泊经过某个城镇...,0,“先生，请务必救救我女儿”,0,0,“要是您能治病，感谢还来不及\n怎么会给您添麻烦呢”,0,艾珀动用邪能\n适当地传递了自己的部分生命力,0,0,“这，这是？！\n没见过的力量啊，不可思议”,0,“谢谢您，我先付您一些押金\n等女儿恢复我，不但给您补足剩下的\n还会多给您两倍的酬劳”,0,“好好好，谢谢您”,0,......\n,0,“喂，听说了吗，\n城里有个人能用奇怪的能力治病”,“可不是吗，据说卫兵队正在找他”,0,0,艾珀习惯了这样的日子\n习惯了远离信任的日子,他不信任别人，也不需要别人信任,
Man22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Woman22,1,0,0,0,3可恶，无数次进攻都难以打倒这个怪物,0,（艾珀呢...）,0,（等等，那家伙..\n怎么跑到雪魁后面去了！）,0,3（不好！那个傻瓜！）,0,3(能赶上！),0,0,0,3...呜...咳！,0,4是谁让你...无视我的！,3倒下吧！,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
God22,1,雪原之上...,海洛持续挥剑\n不断给雪魁施加伤痕,但雪魁好似不知何为疼痛\n受伤完全不影响雪魁挥舞利爪进攻,0,尽管交锋中雪魁受伤次数更多\n但严寒不断掠夺着海洛的体力,0,海洛回头想要观察艾珀的状态\n却并眼神没有捕捉到艾珀身影,0,霎时间，雪魁停止动作\n无视了正在交战的海洛\n朝向刚绕到自己身后的艾珀,0,雪魁迅速扑向艾珀\n海洛用力蹬地，与雪魁几乎同时冲向艾珀,0,谁也不知道海洛如何做到在雪地中快过雪魁\n或许正是她心中想要守护同伴的信念\n支持她在这种环境爆发出了惊人的力量,海洛比雪魁稍快一步，\n撞开了瞪眼发呆的艾珀,不等海洛回头，海洛的腰腹部已经传来了剧痛,0,强忍疼痛，海洛知道\n二人要想活下去，必须尽快解决雪魁,0,0,愤怒的海洛提高了挥剑的频率\n负伤无数的雪魁比海洛先一步倒下,看着雪魁倒下，海洛望向艾珀微微一笑\n随后视线变得模糊...,后来，海洛再次睁眼\n已经是在床上了,艾珀告诉他交战处离这里不远\n他很快就带自己过来治疗了,但海洛知道\n倘如真的距离不远\n艾珀不会选择交战,海洛很开心,她的付出得到了认可\n尽管艾珀嘴上没说什么\n但艾珀的行动已经告诉了她答案,,,,,,,,,,,,,,,,
Man32,1,5海洛，你有被人追求过吗,0,0,居然是女孩子吗...,0,你战斗时可一点都没用女孩子\n该有的样子,0,0,0,这会儿就有了？,0,0,0,5可以考虑,0,...,0,5...,0,0,没什么，还是先专注于旅途吧,0,0,0,,,,,,,,,,,,,,,,,,
Woman32,1,0,3？？？,2哪有这么直接问这种事的,0,3太失礼了！,0,3...,从前倒是有过\n不过被我拒绝了,那会儿没有谈情说爱的心思,0,这会儿的话说不定会考虑考虑,3等等，你犯什么怵了,5难道你想追求我？,0,5...,0,5说起来，火山里那条龙好大啊,0,5...,倒是说句话啊,0,...嗯,(艾珀的话...\n....嗯...),（再说吧...）,,,,,,,,,,,,,,,,,,
God32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
Man13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Man33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woman33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
God33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
